,tile_id,accepted_number_of_marks
730,SWC0171_4_3,0
731,SWC0172_1_1,0
732,SWC0172_1_2,0
733,SWC0172_1_3,1
734,SWC0172_2_1,0
735,SWC0172_2_2,0
736,SWC0172_2_3,0
737,SWC0172_3_1,0
738,SWC0172_3_2,0
739,SWC0172_3_3,0
740,SWC0172_4_1,0
741,SWC0172_4_2,0
742,SWC0172_4_3,0
743,SWC0174_1_1,2
744,SWC0174_1_2,0
745,SWC0174_1_3,0
746,SWC0174_2_1,0
747,SWC0174_2_2,0
748,SWC0174_2_3,0
749,SWC0174_3_1,0
750,SWC0174_3_2,0
751,SWC0174_3_3,0
752,SWC0174_4_1,0
753,SWC0174_4_2,0
754,SWC0174_4_3,0
755,SWC0177_1_1,2
756,SWC0177_1_2,0
757,SWC0177_1_3,2
758,SWC0177_2_1,1
759,SWC0177_2_2,3
760,SWC0177_2_3,2
761,SWC0177_3_1,3
762,SWC0177_3_2,3
763,SWC0177_3_3,2
764,SWC0177_4_1,11
765,SWC0177_4_2,7
766,SWC0177_4_3,1
767,SWC0178_1_1,13
768,SWC0178_1_2,7
769,SWC0178_1_3,14
770,SWC0178_2_1,5
771,SWC0178_2_2,4
772,SWC0178_2_3,9
773,SWC0178_3_1,5
774,SWC0178_3_2,5
775,SWC0178_3_3,0
776,SWC0178_4_1,8
777,SWC0178_4_2,11
778,SWC0178_4_3,5
779,SWC0179_1_1,2
780,SWC0179_1_2,0
781,SWC0179_1_3,0
782,SWC0179_2_1,0
783,SWC0179_2_2,0
784,SWC0179_2_3,2
785,SWC0179_3_1,0
786,SWC0179_3_2,0
787,SWC0179_3_3,18
788,SWC0179_4_1,0
789,SWC0179_4_2,5
790,SWC0179_4_3,10
791,SWC0180_1_1,3
792,SWC0180_1_2,7
793,SWC0180_1_3,4
794,SWC0180_2_1,6
795,SWC0180_2_2,1
796,SWC0180_2_3,0
797,SWC0180_3_1,0
798,SWC0180_3_2,1
799,SWC0180_3_3,0
800,SWC0180_4_1,0
801,SWC0180_4_2,6
802,SWC0180_4_3,2
803,SWC0181_1_1,0
804,SWC0181_1_2,1
805,SWC0181_1_3,0
806,SWC0181_2_1,1
807,SWC0181_2_2,1
808,SWC0181_2_3,2
809,SWC0181_3_1,1
810,SWC0181_3_2,0
811,SWC0181_3_3,3
812,SWC0181_4_1,1
813,SWC0181_4_2,0
814,SWC0181_4_3,0
815,SWC0182_1_1,0
816,SWC0182_1_2,3
817,SWC0182_1_3,0
818,SWC0182_2_1,5
819,SWC0182_2_2,18
820,SWC0182_2_3,7
821,SWC0182_3_1,2
822,SWC0182_3_2,10
823,SWC0182_3_3,1
824,SWC0182_4_1,6
825,SWC0182_4_2,6
826,SWC0182_4_3,0
827,SWC0183_1_1,7
828,SWC0183_1_2,1
829,SWC0183_1_3,0
830,SWC0183_2_1,1
831,SWC0183_2_2,4
832,SWC0183_2_3,2
833,SWC0183_3_1,0
834,SWC0183_3_2,1
835,SWC0183_3_3,2
836,SWC0183_4_1,8
837,SWC0183_4_2,13
838,SWC0183_4_3,5
839,SWC0184_1_1,0
840,SWC0184_1_2,0
841,SWC0184_1_3,0
842,SWC0184_2_1,0
843,SWC0184_2_2,0
844,SWC0184_2_3,0
845,SWC0184_3_1,0
846,SWC0184_3_2,0
847,SWC0184_3_3,0
848,SWC0184_4_1,4
849,SWC0184_4_2,0
850,SWC0184_4_3,0
851,SWC0188_1_1,0
852,SWC0188_1_2,0
853,SWC0188_1_3,0
854,SWC0188_2_1,0
855,SWC0188_2_2,0
856,SWC0188_2_3,0
857,SWC0188_3_1,0
858,SWC0188_3_2,0
859,SWC0188_3_3,0
860,SWC0188_4_1,0
861,SWC0188_4_2,0
862,SWC0188_4_3,8
863,SWC0189_1_1,0
864,SWC0189_1_2,0
